WormBase.ID	Public.Gene.Name	Sequence.ID	Affy.Probe.Set.ID
WBGene00007103	crm-1	B0024.14a	188605_s_at
WBGene00007104	B0024.15	B0024.15	178956_at
WBGene00000723	col-150	B0024.2	188389_at
WBGene00000723	col-150	B0024.2	190008_at
WBGene00007097	B0024.4	B0024.4	179457_at
WBGene00001533	gcy-6	B0024.6a	193170_at
WBGene00000491	che-12	B0024.8a	179224_s_at
WBGene00007099	trx-2	B0024.9a	188742_at
WBGene00007099	trx-2	B0024.9a	188743_s_at
WBGene00006932	vps-34	B0025.1a	193340_at
WBGene00000814	csn-2	B0025.2	187777_at
WBGene00000814	csn-2	B0025.2	183003_at
WBGene00015002	B0034.1	B0034.1	181142_at
WBGene00015003	B0034.2	B0034.2	172345_x_at
WBGene00000403	casy-1	B0034.3a	187795_at
WBGene00000403	casy-1	B0034.3a	174826_at
WBGene00015004	B0034.4	B0034.4	187363_at
WBGene00015005	B0034.5	B0034.5	180357_at
WBGene00001919	his-45	B0035.10	172788_x_at
WBGene00001919	his-45	B0035.10	172774_x_at
WBGene00007110	leo-1	B0035.11	190779_s_at
WBGene00007111	sart-3	B0035.12	192522_s_at
WBGene00007112	B0035.13	B0035.13	188123_at
WBGene00001019	dnj-1	B0035.14a	175437_at
WBGene00001019	dnj-1	B0035.14a	189639_at
WBGene00007113	B0035.15	B0035.15	179838_at
WBGene00007114	mttu-1	B0035.16	193655_s_at
WBGene00007105	B0035.1	B0035.1a	190540_s_at
WBGene00007105	B0035.1	B0035.1a	180821_at
WBGene00001020	dnj-2	B0035.2	172813_x_at
WBGene00001020	dnj-2	B0035.2	173707_at
WBGene00001020	dnj-2	B0035.2	173708_s_at
WBGene00007106	B0035.3	B0035.3	192297_s_at
WBGene00007107	pfd-4	B0035.4	189618_at
WBGene00007108	gspd-1	B0035.5	192882_at
WBGene00007109	B0035.6	B0035.6	179623_s_at
WBGene00001921	his-47	B0035.7	172823_x_at
WBGene00001922	his-48	B0035.8	172758_x_at
WBGene00001922	his-48	B0035.8	172891_x_at
WBGene00001920	his-46	B0035.9	172679_x_at
WBGene00015006	B0041.1	B0041.1	180021_at
WBGene00015007	ain-2	B0041.2a	181562_at
WBGene00015007	ain-2	B0041.2a	174974_s_at
WBGene00015008	lmd-2	B0041.3	181727_at
WBGene00004415	rpl-4	B0041.4	173931_s_at
WBGene00015009	B0041.5	B0041.5	180038_s_at
WBGene00015009	B0041.5	B0041.5	173569_at
WBGene00015010	ptps-1	B0041.6a	193236_at
WBGene00006961	xnp-1	B0041.7	188503_s_at
WBGene00015012	bath-20	B0047.1a	183501_at
WBGene00015013	btb-3 	B0047.2	183933_at
WBGene00015014	bath-24	B0047.3	183558_at
WBGene00015015	math-1	B0047.4	183723_at
NA	NA	B0047.5	183777_at
WBGene00006646	tsp-20	B0198.1	190448_at
WBGene00007115	B0198.2	B0198.2a	177459_at
WBGene00007116	B0198.3	B0198.3a	189034_at
WBGene00015024	B0205.10	B0205.10	184846_at
WBGene00015025	mrpl-9	B0205.11	176765_at
WBGene00015017	B0205.1	B0205.1a	181834_at
WBGene00015018	srz-85	B0205.2a	180059_at
WBGene00004466	rpn-10	B0205.3	188262_s_at
WBGene00004466	rpn-10	B0205.3	173653_at
WBGene00015019	B0205.4	B0205.4	181640_at
WBGene00015020	B0205.5	B0205.5	182053_at
WBGene00015021	B0205.6	B0205.6	189516_at
WBGene00002191	kin-3	B0205.7	187874_at
WBGene00002191	kin-3	B0205.7	175013_at
WBGene00015022	B0205.8	B0205.8	181788_at
WBGene00015023	B0205.9	B0205.9	182366_at
WBGene00015026	B0207.1	B0207.1	191591_at
WBGene00015033	B0207.10	B0207.10	185297_at
WBGene00015034	B0207.11	B0207.11	186430_at
WBGene00000232	avr-14	B0207.12a	194145_x_at
WBGene00000232	avr-14	B0207.12a	176660_s_at
WBGene00015027	B0207.2	B0207.2	180321_at
WBGene00001676	gpa-14	B0207.3a	193961_at
WBGene00000099	air-2	B0207.4	191184_at
WBGene00015028	B0207.5	B0207.5	176684_s_at
WBGene00015029	B0207.6	B0207.6	180338_at
WBGene00015030	B0207.7	B0207.7	192138_at
WBGene00015031	B0207.8	B0207.8	180348_at
WBGene00015032	B0207.9	B0207.9	179956_at
WBGene00015035	otpl-1	B0212.1a	181926_at
WBGene00015035	otpl-1	B0212.1a	183978_at
WBGene00015037	B0212.3	B0212.3	181981_at
WBGene00015038	nstp-6	B0212.4a	183383_s_at
WBGene00003889	osm-9	B0212.5	191525_at
WBGene00015040	cyp-34A5	B0213.10	189481_at
WBGene00015041	cyp-34A6	B0213.11a	189689_at
WBGene00015042	cyp-34A7	B0213.12	189461_at
WBGene00015043	cyp-34A8	B0213.14	189485_at
WBGene00015044	cyp-34A9	B0213.15a	189457_at
WBGene00015045	cyp-34A10	B0213.16	189633_at
WBGene00003765	nlp-27	B0213.2	172388_x_at
WBGene00003766	nlp-28	B0213.3	172427_x_at
WBGene00003767	nlp-29	B0213.4	172375_x_at
WBGene00003768	nlp-30	B0213.5	172386_x_at
WBGene00003769	nlp-31	B0213.6	172343_x_at
WBGene00006142	str-83	B0213.7	191151_at
WBGene00006141	str-82	B0213.8	191171_at
WBGene00006274	str-247	B0213.9	189008_at
WBGene00015047	faah-1	B0218.1a	188358_at
WBGene00015048	faah-2	B0218.2	188343_at
WBGene00004055	pmk-1	B0218.3	191432_at
WBGene00015049	B0218.5	B0218.5	189209_at
WBGene00015050	clec-51	B0218.6	181259_at
WBGene00015051	B0218.7	B0218.7	180422_s_at
WBGene00015052	clec-52	B0218.8	180562_at
WBGene00015053	B0222.1	B0222.1	182936_at
WBGene00015058	B0222.10	B0222.10	174716_at
WBGene00044582	B0222.11	B0222.11	188841_at
WBGene00015054	pitr-2	B0222.2	189759_at
WBGene00015055	pitr-3	B0222.3	189799_at
WBGene00006418	tag-38	B0222.4	190816_at
WBGene00015056	B0222.5	B0222.5	183883_at
WBGene00000717	col-144	B0222.6	172472_x_at
WBGene00000717	col-144	B0222.6	172723_x_at
WBGene00000717	col-144	B0222.6	171768_x_at
WBGene00000718	col-145	B0222.7	172475_x_at
WBGene00015057	gad-3	B0222.9	174732_s_at
WBGene00015059	B0228.1	B0228.1	187244_at
WBGene00015061	cpna-2	B0228.4a	187315_s_at
WBGene00015061	cpna-2	B0228.4a	187308_at
WBGene00015061	cpna-2	B0228.4a	173499_s_at
WBGene00015061	cpna-2	B0228.4a	174824_at
WBGene00015062	trx-1	B0228.5a	189557_at
WBGene00015063	B0228.6	B0228.6	187298_at
WBGene00015064	B0228.7	B0228.7	187261_s_at
WBGene00015065	B0228.8	B0228.8	187325_at
WBGene00015066	B0228.9	B0228.9	187334_at
WBGene00015067	B0238.1	B0238.1	189564_s_at
WBGene00015074	natc-2	B0238.10	189642_at
WBGene00015075	B0238.11	B0238.11	185022_at
WBGene00015076	B0238.12	B0238.12	185026_at
WBGene00015077	B0238.13 	B0238.13	172806_x_at
WBGene00015077	B0238.13 	B0238.13	189524_at
NA	NA	B0238.14	185261_at
WBGene00015068	srt-68	B0238.3	182070_at
NA	NA	B0238.4	182853_at
WBGene00015069	srt-67	B0238.5	181620_at
WBGene00015070	srt-70	B0238.6	179716_at
WBGene00015071	B0238.7	B0238.7	189505_at
WBGene00015072	srt-69	B0238.8	181796_at
WBGene00015073	B0238.9	B0238.9a	182874_at
WBGene00015073	B0238.9	B0238.9a	174703_at
WBGene00004359	rhr-2	B0240.1	193867_s_at
WBGene00000907	daf-11	B0240.3	191796_s_at
WBGene00000907	daf-11	B0240.3	174815_at
WBGene00007118	npp-22	B0240.4	178839_s_at
WBGene00015085	B0244.10	B0244.10	187421_s_at
WBGene00015086	B0244.11	B0244.11	174476_at
WBGene00206513	B0244.15	B0244.15	187374_at
WBGene00002048	ida-1	B0244.2	193087_s_at
WBGene00002048	ida-1	B0244.2	171877_x_at
WBGene00015079	B0244.4	B0244.4a	187235_at
WBGene00015080	B0244.5	B0244.5	187427_at
WBGene00015083	egg-1	B0244.8	188898_at
WBGene00015084	B0244.9	B0244.9	180281_s_at
WBGene00004413	rpl-2	B0250.1	174080_s_at
WBGene00004413	rpl-2	B0250.1	190162_at
WBGene00004413	rpl-2	B0250.1	178408_at
WBGene00206505	B0250.18	B0250.18a	179321_at
WBGene00007119	calf-1	B0250.2	178163_at
WBGene00007122	B0250.5	B0250.5	194048_at
WBGene00007123	srbc-79	B0250.6	179546_at
WBGene00007124	B0250.7	B0250.7b	190160_at
WBGene00007126	dhcr-7	B0250.9	179375_at
WBGene00015087	B0252.1	B0252.1	190739_at
WBGene00000211	asm-1	B0252.2	192104_at
WBGene00015088	B0252.3	B0252.3a	187498_at
WBGene00000886	cyn-10	B0252.4a	190873_at
WBGene00000886	cyn-10	B0252.4a	174532_s_at
WBGene00015089	B0252.5	B0252.5	187484_at
WBGene00015091	B0261.1	B0261.1	180054_at
WBGene00015091	B0261.1	B0261.1	194217_x_at
WBGene00002583	let-363	B0261.2a	188271_at
WBGene00002583	let-363	B0261.2a	174977_at
WBGene00015092	mrpl-47	B0261.4a	182758_at
WBGene00015093	B0261.5	B0261.5	182048_at
WBGene00015094	B0261.6	B0261.6a	182035_at
WBGene00015095	B0261.7	B0261.7	181769_s_at
WBGene00015095	B0261.7	B0261.7	174782_s_at
WBGene00006538	tbb-4	B0272.1	190169_s_at
WBGene00007128	memb-1	B0272.2	186940_at
WBGene00007129	B0272.3	B0272.3	192491_at
WBGene00007130	B0272.4	B0272.4	192135_at
WBGene00015097	B0273.1	B0273.1	181607_at
WBGene00206473	B0273.115	B0273.115	177077_at
WBGene00004243	puf-7	B0273.2	194176_x_at
WBGene00006745	unc-5	B0273.4a	194180_x_at
WBGene00006745	unc-5	B0273.4a	192494_s_at
WBGene00015105	pot-1	B0280.10	187581_at
WBGene00001613	glr-2	B0280.12a	190494_s_at
WBGene00001613	glr-2	B0280.12a	189724_at
WBGene00015107	B0280.13	B0280.13	187365_at
WBGene00044674	B0280.17	B0280.17	190848_at
WBGene00015099	ggtb-1	B0280.1a	191040_at
WBGene00015099	ggtb-1	B0280.1a	174762_at
WBGene00015099	ggtb-1	B0280.1a	174763_s_at
WBGene00015101	rpia-1	B0280.3	187577_at
WBGene00003845	odd-1	B0280.4	187380_at
WBGene00015102	cpg-2	B0280.5	194163_s_at
WBGene00015102	cpg-2	B0280.5	187525_s_at
WBGene00015103	B0280.7	B0280.7	187509_at
WBGene00003609	nhr-10	B0280.8	173903_at
WBGene00003609	nhr-10	B0280.8	191884_s_at
WBGene00015104	B0280.9	B0280.9	187341_s_at
WBGene00015108	B0281.1	B0281.1	182103_at
NA	NA	B0281.2	183699_at
WBGene00015110	B0281.3	B0281.3	181632_at
WBGene00015111	B0281.4	B0281.4	181853_at
WBGene00015112	B0281.5	B0281.5a	181676_at
WBGene00015113	B0281.6	B0281.6	181705_at
WBGene00015114	B0281.8	B0281.8	181729_at
WBGene00007131	B0284.1	B0284.1	179346_at
WBGene00007132	B0284.2	B0284.2	179629_at
WBGene00007133	B0284.3	B0284.3	178525_at
WBGene00007134	B0284.4	B0284.4	179522_at
WBGene00000513	ckb-3	B0285.10	189607_at
WBGene00007135	cdk-12	B0285.1a	175292_at
WBGene00007135	cdk-12	B0285.1a	193628_at
WBGene00007136	B0285.3	B0285.3	186963_s_at
WBGene00007137	B0285.4	B0285.4	186897_at
WBGene00002003	hse-5	B0285.5	186851_at
WBGene00007138	B0285.6	B0285.6	190632_at
WBGene00007139	mnp-1	B0285.7	189450_at
WBGene00007139	mnp-1	B0285.7	174159_at
WBGene00000511	ckb-1	B0285.8	189503_at
WBGene00000512	ckb-2	B0285.9	189460_at
WBGene00015115	B0286.1	B0286.1	187480_at
WBGene00015116	pacs-1	B0286.3	192786_s_at
WBGene00003825	ntl-2	B0286.4a	182822_s_at
WBGene00003825	ntl-2	B0286.4a	171729_x_at
WBGene00001438	fkh-6	B0286.5	191946_at
WBGene00023425	try-9	B0286.6	179919_at
WBGene00015117	B0294.1	B0294.1	180998_at
NA	NA	B0294.2	180568_at
WBGene00015118	B0294.3	B0294.3	181047_at
WBGene00002207	sid-3	B0302.1a	192840_s_at
WBGene00015119	B0302.2	B0302.2	187364_at
NA	NA	B0302.3	172828_x_at
WBGene00015121	B0302.4	B0302.4	187362_at
WBGene00015122	B0302.5	B0302.5	191379_at
NA	NA	B0302.6	188667_at
WBGene00015131	B0303.11	B0303.11	187634_at
WBGene00015131	B0303.11	B0303.11	174792_s_at
WBGene00015132	B0303.14	B0303.14	192179_s_at
WBGene00015132	B0303.14	B0303.14	173796_at
WBGene00015133	mrpl-11	B0303.15	190989_at
WBGene00015124	anmt-1	B0303.2	187519_at
WBGene00015125	B0303.3	B0303.3	173920_at
WBGene00015125	B0303.3	B0303.3	192152_s_at
WBGene00015126	B0303.4	B0303.4	187466_at
WBGene00015128	B0303.7	B0303.7a	173945_s_at
WBGene00015129	sdz-1	B0303.8	187415_at
WBGene00015130	vps-33.1	B0303.9	188553_at
WBGene00001948	hlh-1	B0304.1a	193759_at
WBGene00015134	B0304.2	B0304.2	187515_at
WBGene00015135	cyp-23A1	B0304.3	171727_x_at
WBGene00015135	cyp-23A1	B0304.3	189390_at
WBGene00015136	B0304.4	B0304.4	187289_at
WBGene00005059	sra-33	B0304.6	187347_at
WBGene00005061	sra-35	B0304.8	187396_at
WBGene00005062	sra-36	B0304.9	187487_at
WBGene00015137	B0310.1	B0310.1a	187546_at
WBGene00015138	B0310.2	B0310.2	191086_at
WBGene00015139	B0310.3	B0310.3	187505_at
WBGene00015141	ugt-46	B0310.5	173905_s_at
WBGene00015141	ugt-46	B0310.5	173204_s_at
WBGene00015142	B0310.6	B0310.6	187570_at
WBGene00007140	cyp-29A4	B0331.1	189142_at
WBGene00007141	pitr-4	B0331.2	173900_s_at
WBGene00007142	ttr-18	B0334.1	190955_s_at
WBGene00007148	B0334.10	B0334.10	180130_at
WBGene00003868	ooc-3	B0334.11a	180068_s_at
WBGene00195248	emc-5	B0334.15	174046_s_at
WBGene00006660	twk-5	B0334.2a	192739_at
WBGene00006660	twk-5	B0334.2a	173088_s_at
WBGene00007143	B0334.3	B0334.3a	192109_s_at
WBGene00007143	B0334.3	B0334.3a	194231_x_at
WBGene00007144	B0334.4	B0334.4	193075_at
WBGene00007145	B0334.5	B0334.5	191487_at
WBGene00007146	B0334.6	B0334.6	193735_at
WBGene00005267	srh-44	B0334.7	178816_at
WBGene00000090	age-1	B0334.8	193074_s_at
WBGene00000090	age-1	B0334.8	171838_x_at
NA	NA	B0334.9	178722_at
WBGene00006943	wrm-1	B0336.1	175615_s_at
WBGene00006943	wrm-1	B0336.1	187995_s_at
WBGene00004435	rpl-23	B0336.10	173275_s_at
WBGene00015148	hpo-28	B0336.11a	185243_at
WBGene00015149	B0336.12	B0336.12	185727_at
WBGene00015150	B0336.13	B0336.13	176733_at
WBGene00000182	arf-1.2	B0336.2	187865_at
WBGene00000182	arf-1.2	B0336.2	174943_at
WBGene00000182	arf-1.2	B0336.2	174944_s_at
WBGene00015143	B0336.3	B0336.3	182452_at
WBGene00015143	B0336.3	B0336.3	174054_at
WBGene00004348	rgs-5	B0336.4a	181611_at
WBGene00015145	B0336.5	B0336.5a	184062_at
WBGene00015146	abi-1	B0336.6	184146_s_at
WBGene00015147	B0336.7	B0336.7a	183642_s_at
WBGene00002982	lgg-3	B0336.8	187993_at
WBGene00006359	swp-1	B0336.9a	172000_x_at
WBGene00006359	swp-1	B0336.9a	187991_s_at
WBGene00006955	wrt-9	B0344.2	182172_at
WBGene00006955	wrt-9	B0344.2	185567_at
WBGene00015151	B0348.1	B0348.1	182084_at
WBGene00015152	B0348.2	B0348.2	183142_at
WBGene00001177	egl-8	B0348.4a	175785_at
WBGene00001177	egl-8	B0348.4a	191075_s_at
WBGene00015153	B0348.5	B0348.5	183144_at
WBGene00002061	ife-3	B0348.6a	173994_at
WBGene00002061	ife-3	B0348.6a	192017_s_at
WBGene00006780	unc-44	B0350.2a	171738_x_at
WBGene00006780	unc-44	B0350.2a	174033_at
WBGene00006780	unc-44	B0350.2a	173125_s_at
WBGene00006780	unc-44	B0350.2a	175561_s_at
WBGene00006780	unc-44	B0350.2a	181045_at
WBGene00006780	unc-44	B0350.2a	176663_s_at
WBGene00006780	unc-44	B0350.2a	172153_x_at
WBGene00006780	unc-44	B0350.2a	172123_x_at
WBGene00006780	unc-44	B0350.2a	175181_at
NA	NA	B0350.3	172362_x_at
WBGene00015155	B0353.1	B0353.1a	187251_at
WBGene00015164	ykt-6	B0361.10	189182_at
WBGene00015156	B0361.2	B0361.2a	187739_at
WBGene00015156	B0361.2	B0361.2a	176710_at
WBGene00015156	B0361.2	B0361.2a	172680_x_at
WBGene00015157	B0361.3	B0361.3	187473_at
WBGene00015158	B0361.4	B0361.4	187393_at
WBGene00015159	psd-1	B0361.5a	192698_at
WBGene00015160	B0361.6	B0361.6	187395_s_at
WBGene00015161	pho-5	B0361.7	188107_at
WBGene00015162	algn-11	B0361.8	176703_at
WBGene00015163	B0361.9	B0361.9	187438_s_at
WBGene00015163	B0361.9	B0361.9	173537_at
WBGene00007150	acly-2	B0365.1	189522_at
NA	NA	B0365.2	178407_at
WBGene00001137	eat-6	B0365.3	193298_s_at
WBGene00001137	eat-6	B0365.3	194191_x_at
WBGene00001137	eat-6	B0365.3	171881_x_at
WBGene00007153	clec-41	B0365.6	189915_s_at
WBGene00007154	dhc-3	B0365.7	187966_at
WBGene00007154	dhc-3	B0365.7	178155_at
WBGene00219208	B0365.9	B0365.9	189983_at
WBGene00007155	B0379.1	B0379.1a	179086_s_at
WBGene00007156	B0379.2	B0379.2	184492_s_at
WBGene00003508	mut-16	B0379.3a	180781_s_at
WBGene00007054	scpl-1	B0379.4a	193257_at
WBGene00007054	scpl-1	B0379.4a	178388_at
WBGene00007158	B0379.6	B0379.6	178564_at
WBGene00007159	B0379.7	B0379.7	172288_x_at
WBGene00007159	B0379.7	B0379.7	180415_s_at
NA	NA	B0391.1	178908_at
NA	NA	B0391.10	172416_x_at
WBGene00007166	fbxa-152	B0391.11a	175904_s_at
WBGene00007166	fbxa-152	B0391.11a	183031_at
WBGene00006289	str-263	B0391.12	178976_at
WBGene00007161	B0391.3	B0391.3	179592_at
WBGene00007162	fbxa-153	B0391.5	179123_at
WBGene00007163	fbxa-154	B0391.6	183219_s_at
WBGene00007163	fbxa-154	B0391.6	175926_s_at
WBGene00007163	fbxa-154	B0391.6	175925_at
NA	NA	B0391.7	172226_at
WBGene00007164	fbxa-139	B0391.9	172249_x_at
WBGene00004469	rps-0	B0393.1	192558_s_at
WBGene00004469	rps-0	B0393.1	172946_s_at
WBGene00007167	rbg-3	B0393.2	190483_at
WBGene00007168	B0393.3	B0393.3	193256_at
WBGene00007169	B0393.4	B0393.4	177668_s_at
WBGene00007170	B0393.5	B0393.5	193885_at
WBGene00007171	B0393.6	B0393.6	192850_at
WBGene00007172	B0393.7	B0393.7	193699_at
WBGene00007173	B0393.8	B0393.8	172602_x_at
WBGene00003729	nhx-1	B0395.1	190758_at
WBGene00007174	mboa-1	B0395.2	190760_at
WBGene00007175	B0395.3	B0395.3	191306_s_at
WBGene00007176	kcnl-1	B0399.1a	179208_at
NA	NA	B0403.1	176036_at
NA	NA	B0403.1	176037_s_at
WBGene00006712	ubc-17	B0403.2	187876_at
WBGene00015167	B0403.3	B0403.3	176071_at
WBGene00015168	pdi-6	B0403.4	173898_at
WBGene00015168	pdi-6	B0403.4	192032_s_at
WBGene00015170	B0410.1	B0410.1	181003_at
WBGene00015171	vang-1	B0410.2a	187781_s_at
WBGene00015172	B0410.3	B0410.3	175095_at
WBGene00000895	dac-1	B0412.1a	189843_at
WBGene00000903	daf-7	B0412.2	193876_at
WBGene00015173	trpp-11	B0412.3	173165_s_at
WBGene00015173	trpp-11	B0412.3	179796_at
WBGene00004498	rps-29	B0412.4	174300_s_at
WBGene00015175	srz-4	B0414.1	183726_at
WBGene00004393	rnt-1	B0414.2	172032_x_at
WBGene00004393	rnt-1	B0414.2	188003_s_at
WBGene00001856	hil-5	B0414.3	188740_at
WBGene00000772	cpb-3	B0414.5	192085_at
WBGene00000772	cpb-3	B0414.5	174512_at
WBGene00001600	glh-3	B0414.6	191236_s_at
WBGene00003472	mtk-1	B0414.7a	189122_s_at
WBGene00003472	mtk-1	B0414.7a	174455_s_at
WBGene00015176	vps-51	B0414.8a	182175_s_at
WBGene00015177	tmc-2	B0416.1	187459_at
WBGene00015178	B0416.2	B0416.2	187404_at
WBGene00015179	B0416.3	B0416.3	187512_at
WBGene00015180	B0416.4	B0416.4	187457_at
WBGene00015181	B0416.5	B0416.5a	173667_at
WBGene00015181	B0416.5	B0416.5a	187506_s_at
WBGene00015181	B0416.5	B0416.5a	171863_x_at
WBGene00001638	gly-13	B0416.6	175818_s_at
WBGene00001638	gly-13	B0416.6	193946_s_at
WBGene00015182	B0416.7	B0416.7a	187483_at
WBGene00015183	B0432.1	B0432.1	183979_at
WBGene00015191	B0432.10	B0432.10	186314_s_at
WBGene00015192	B0432.11	B0432.11	186140_at
WBGene00015193	clec-117	B0432.12	185508_s_at
WBGene00015194	B0432.13	B0432.13	190014_at
WBGene00015184	djr-1.1	B0432.2	183992_at
WBGene00015185	mrpl-41	B0432.3	183493_at
WBGene00015186	misc-1	B0432.4	175152_s_at
WBGene00015186	misc-1	B0432.4	193796_at
WBGene00000296	cat-2	B0432.5a	192414_at
WBGene00015187	B0432.7 	B0432.6	183075_at
WBGene00015188	B0432.7	B0432.7	183049_at
WBGene00015189	B0432.8	B0432.8	183967_at
WBGene00002997	lin-8	B0454.1	179961_at
WBGene00005542	sri-30	B0454.10	189389_at
WBGene00005543	sri-31	B0454.2	191139_at
WBGene00005540	sri-28	B0454.3	191121_at
WBGene00005541	sri-29	B0454.4	191131_at
WBGene00015196	B0454.5	B0454.5	182479_at
WBGene00015197	B0454.6	B0454.6	189900_at
WBGene00015198	clec-2	B0454.7	182051_s_at
WBGene00015198	clec-2	B0454.7	181883_at
WBGene00015199	B0454.8	B0454.8	179743_at
WBGene00015200	B0454.9	B0454.9	182605_s_at
WBGene00002251	lat-1	B0457.1a	192409_at
WBGene00002251	lat-1	B0457.1a	174738_at
WBGene00007178	B0457.2	B0457.2	173718_s_at
NA	NA	B0457.3	177703_at
WBGene00007179	B0457.4	B0457.4	177943_at
NA	NA	B0462.1	179395_at
WBGene00007182	fbxb-119	B0462.3	179501_at
WBGene00194695	B0462.5	B0462.5	179468_at
WBGene00001094	dars-1	B0464.1	191243_s_at
WBGene00007184	ctr-9	B0464.2a	188900_at
WBGene00007185	nlp-36	B0464.3	172625_x_at
WBGene00000268	bre-3	B0464.4	188054_at
WBGene00004980	spk-1	B0464.5a	193400_s_at
WBGene00004980	spk-1	B0464.5a	174742_at
WBGene00007186	B0464.6	B0464.6	186711_s_at
WBGene00000235	baf-1	B0464.7	192752_at
WBGene00007187	tag-342	B0464.8	178222_at
WBGene00002178	jnk-1	B0478.1a	175640_at
WBGene00002178	jnk-1	B0478.1a	190415_s_at
WBGene00015202	B0478.3	B0478.3	179773_at
WBGene00007189	B0491.1	B0491.1	179343_at
